Councils,Link
cotswold,https://www.cotswold.gov.uk/media/qpea1fls/draft-and-unaudited-statement-of-accounts-2019-20.pdf
coventry,https://www.coventry.gov.uk/info/2/budgets_and_spending/116/statement_of_accounts
craven,https://www.cravendc.gov.uk/the-council/budgets-and-spending/statement-of-accounts/
crawley,https://crawley.gov.uk/council-information/council-finance/statement-accounts
croydon,https://www.croydon.gov.uk/democracy/budgets/financial-accounts
cumbria,https://www.cumbria.gov.uk/finance/finance/accounts20192020.asp
dacorum,http://www.dacorum.gov.uk/home/council-democracy/finance/annual-statement-of-accounts
darlington,https://www.darlington.gov.uk/your-council/council-information/financial-information/statement-of-accounts/
dartford,https://www.dartford.gov.uk/by-category/council-and-democracy2/council-budgets-and-spending/statement-of-accounts
daventry,https://www.daventrydc.gov.uk/your-council/council-budgets-spending/annual-accounts/
derby,https://www.derby.gov.uk/council-and-democracy/council-budgets-spending-performance/annual-accounts/index.html
derbyshire,https://www.derbyshire.gov.uk/council/budgets-and-spending/statement-of-accounts/statement-of-accounts.aspx
derbyshire dales,https://www.derbyshiredales.gov.uk/your-council/budget-a-spending/statement-of-accounts
derbyshire fire,https://www.derbys-fire.gov.uk/about-us/what-we-spend/income-and-expenditure
devon,https://www.devon.gov.uk/finance-and-budget/audit-and-inspection/
devon and somerset fire,https://www.dsfire.gov.uk/AboutUs/WhatWeSpend/StatementOfAccounts/Index.cfm?siteCategoryId=2&T1ID=11&T2ID=102
doncaster,https://www.doncaster.gov.uk/services/the-council-democracy/statement-of-accounts
dorset,https://www.dorsetcouncil.gov.uk/your-council/about-your-council/budgets-and-spending/annual-accounts.aspx
dorset and wiltshire fire,https://www.dsfire.gov.uk/AboutUs/WhatWeSpend/StatementOfAccounts/documents/DSFRA%20Statement%20of%20Accounts%202019-20.pdf
dover,https://www.dover.gov.uk/Corporate-Information/Financial-Information/Budgets--Accounts.aspx
dudley,https://www.dudley.gov.uk/council-community/plan-policies-and-strategies/statement-of-accounts/
durham,https://www.durham.gov.uk/article/2431/Statement-of-Accounts
durham fire,https://www.ddfire.gov.uk/statement-accounts
